ax,ay,az,temp,gx,gy,gz
0.0205,0.0779,1.021,33.19,-2.397,-0.473,0.649
0.0234,0.0774,1.0247,33.09,-2.076,-0.382,0.695
0.0188,0.0754,1.0212,33.09,-2.183,-0.305,0.634
0.0227,0.0754,1.0212,33.09,-2.023,-0.466,0.74
0.0178,0.0769,1.0276,33.24,-2.145,-0.42,0.588
0.0132,0.0823,1.0239,33.14,-2.176,-0.412,0.618
0.022,0.0789,1.0251,33.14,-2.267,-0.511,0.687
0.0173,0.0774,1.0244,33.14,-2.122,-0.244,0.649
0.0168,0.0742,1.0232,33.14,-2.267,-0.45,0.733
0.0164,0.0769,1.0217,33.09,-2.237,-0.618,0.634
0.0212,0.0754,1.0212,33.0,-2.191,-0.344,0.634
0.0127,0.0769,1.0288,33.19,-2.183,-0.412,0.725
0.0137,0.0732,1.0271,33.19,-2.16,-0.198,0.634
0.0195,0.0796,1.0298,33.19,-2.305,-0.366,0.725
0.0195,0.0789,1.0283,33.19,-2.122,-0.603,0.702
0.0156,0.0793,1.0154,33.09,-2.252,-0.389,0.71
0.0142,0.0752,1.0181,33.24,-2.176,-0.313,0.649
0.0237,0.0767,1.0334,33.14,-2.229,-0.427,0.832
0.0115,0.0779,1.0247,33.24,-2.153,-0.489,0.489
0.0168,0.0764,1.0261,33.14,-2.069,-0.557,0.565
0.0166,0.073,1.0256,33.14,-2.092,-0.435,0.672
0.0171,0.0886,1.0149,33.19,-2.122,-0.489,0.595
0.0234,0.0779,1.0188,33.14,-2.176,-0.359,0.573
0.0156,0.0776,1.0144,33.09,-2.29,-0.397,0.656
0.0195,0.0859,1.0142,33.09,-2.038,-0.313,0.603
0.0205,0.0767,1.0237,33.19,-2.153,-0.634,0.573
0.0142,0.0789,1.012,33.19,-2.076,-0.588,0.672
0.0188,0.0688,1.0237,33.14,-2.084,-0.397,0.779
0.0115,0.0725,1.0217,33.14,-2.229,-0.504,0.832
0.0198,0.0759,1.0286,33.14,-2.389,-0.504,0.519
0.0195,0.0764,1.0266,33.14,-2.313,-0.359,0.687
0.0193,0.0742,1.0276,33.14,-2.26,-0.511,0.763
0.019,0.0791,1.0234,33.19,-2.305,-0.366,0.511
0.0205,0.0754,1.0215,33.28,-2.221,-0.641,0.527
0.0156,0.0769,1.0225,33.19,-2.305,-0.542,0.672
0.0142,0.0789,1.0205,33.19,-2.16,-0.45,0.565
0.0164,0.074,1.0288,33.19,-2.099,-0.26,0.832
0.0125,0.0767,1.0239,33.19,-2.198,-0.374,0.679
0.0208,0.0757,1.0183,33.19,-2.198,-0.359,0.664
0.0178,0.0779,1.03,33.19,-2.092,-0.382,0.649
0.0208,0.0735,1.0251,33.19,-2.145,-0.534,0.588
0.0188,0.0762,1.0188,33.19,-2.084,-0.443,0.71
0.0151,0.0793,1.0208,33.14,-1.931,-0.481,0.618
0.0205,0.0701,1.0178,33.14,-2.214,-0.351,0.672
0.022,0.0801,1.0283,33.14,-2.389,-0.542,0.588
0.0156,0.0803,1.0271,33.05,-1.969,-0.55,0.58
0.0181,0.0762,1.0322,33.24,-2.13,-0.481,0.878
0.0171,0.0811,1.0171,33.14,-2.137,-0.382,0.725
0.0217,0.0811,1.0247,33.19,-2.313,-0.534,0.557
0.0181,0.0735,1.0188,33.14,-2.183,-0.458,0.695
0.0166,0.0801,1.0166,33.09,-2.176,-0.344,0.71
0.0171,0.0779,1.0212,33.14,-2.16,-0.42,0.481
0.021,0.0774,1.021,33.09,-2.214,-0.481,0.763
0.0193,0.082,1.0261,33.19,-2.328,-0.557,0.679
0.0098,0.0735,1.0205,33.28,-2.145,-0.351,0.672
0.0161,0.0764,1.0281,33.19,-2.183,-0.412,0.687
0.02,0.0815,1.0217,33.19,-2.092,-0.466,0.557
0.0188,0.0774,1.0234,33.19,-2.206,-0.519,0.794
0.0195,0.0718,1.0256,33.19,-2.031,-0.557,0.74
0.0142,0.0769,1.0171,33.28,-2.115,-0.427,0.611
0.0176,0.0774,1.0171,33.09,-2.145,-0.351,0.527
0.0186,0.0803,1.0225,33.09,-2.107,-0.489,0.641
0.0225,0.0781,1.0261,33.09,-2.282,-0.344,0.756
0.0166,0.0813,1.0254,33.24,-2.038,-0.321,0.878
0.0188,0.085,1.021,33.24,-2.229,-0.443,0.542
0.0173,0.082,1.0198,33.24,-2.084,-0.382,0.611
0.0132,0.0735,1.0212,33.14,-2.214,-0.435,0.511
0.0227,0.0776,1.021,33.14,-2.061,-0.397,0.58
0.019,0.0747,1.0254,33.14,-2.252,-0.534,0.611
0.0173,0.0762,1.0222,33.14,-2.13,-0.405,0.542
0.0122,0.085,1.0176,33.14,-2.305,-0.267,0.565
0.021,0.0757,1.0159,33.24,-2.298,-0.458,0.695
0.0225,0.074,1.0203,33.14,-1.992,-0.466,0.618
0.0198,0.0767,1.0208,33.14,-2.374,-0.405,0.611
0.0171,0.0796,1.0156,33.14,-2.351,-0.466,0.557
0.0161,0.0735,1.03,33.14,-1.901,-0.473,0.603
0.0159,0.0789,1.0264,33.24,-2.183,-0.527,0.702
0.0176,0.0779,1.0247,33.09,-2.076,-0.389,0.71
0.0208,0.0735,1.0181,33.19,-2.198,-0.45,0.87
0.0188,0.0784,1.0217,33.19,-2.191,-0.42,0.649
0.0178,0.0728,1.021,33.19,-2.084,-0.374,0.817
0.0171,0.0732,1.0247,33.19,-2.13,-0.382,0.618
0.0178,0.0786,1.0244,33.19,-2.115,-0.527,0.626
0.0247,0.0835,1.0225,33.09,-2.206,-0.412,0.595
0.0085,0.0781,1.0178,33.09,-2.221,-0.374,0.863
0.0142,0.0833,1.0173,33.09,-2.107,-0.374,0.641
0.0188,0.0769,1.03,33.14,-2.183,-0.359,0.71
0.0183,0.0793,1.032,33.05,-2.115,-0.29,0.496
0.0239,0.0745,1.0247,33.14,-2.244,-0.634,0.588
0.0144,0.0811,1.0171,33.09,-2.252,-0.321,0.611
0.0168,0.0786,1.0283,33.14,-2.244,-0.366,0.809
0.0173,0.0791,1.0256,33.09,-2.214,-0.397,0.573
0.0208,0.0764,1.0288,33.09,-2.198,-0.481,0.664
0.0215,0.0801,1.0244,33.09,-2.176,-0.267,0.565
0.0156,0.0762,1.0251,33.19,-2.145,-0.588,0.626
0.0139,0.0757,1.0283,33.19,-2.244,-0.427,0.626
0.0139,0.0774,1.0251,33.09,-2.221,-0.573,0.626
0.0203,0.0784,1.0291,33.19,-2.084,-0.42,0.679
0.0212,0.0789,1.0198,33.14,-1.939,-0.55,0.634
0.0183,0.0791,1.0264,33.14,-2.115,-0.397,0.718
0.0176,0.0801,1.0269,33.14,-2.046,-0.336,0.695
0.0161,0.072,1.0256,33.14,-2.176,-0.656,0.527
0.0127,0.0784,1.0139,33.14,-2.26,-0.618,0.573
0.0242,0.0852,1.0195,33.14,-2.29,-0.527,0.55
0.0149,0.0798,1.0186,33.24,-2.092,-0.443,0.733
0.0208,0.0771,1.0173,33.24,-2.092,-0.527,0.588
0.0146,0.0779,1.0144,33.14,-2.13,-0.573,0.679
0.0132,0.0781,1.0305,33.14,-2.069,-0.489,0.573
0.0208,0.0791,1.0273,33.24,-2.214,-0.405,0.664
0.021,0.0796,1.0181,33.14,-2.122,-0.481,0.595
0.0142,0.0828,1.0256,33.05,-2.13,-0.359,0.481
0.0212,0.0789,1.0188,33.05,-2.115,-0.458,0.565
0.0161,0.0774,1.0225,33.14,-2.237,-0.496,0.725
0.0198,0.0776,1.0232,33.14,-2.145,-0.412,0.679
0.0125,0.0771,1.0159,33.14,-2.221,-0.42,0.542
0.0178,0.0774,1.0225,33.24,-2.26,-0.511,0.573
0.0168,0.0759,1.0232,33.14,-2.237,-0.427,0.58
0.0149,0.0728,1.0159,33.24,-2.137,-0.534,0.74
0.0149,0.0759,1.0144,33.05,-1.931,-0.298,0.58
0.0186,0.0776,1.0247,33.14,-2.13,-0.427,0.634
0.0195,0.0774,1.0186,33.14,-2.267,-0.595,0.618
0.0215,0.082,1.0227,33.14,-2.16,-0.534,0.649
0.0178,0.0764,1.0217,33.14,-2.206,-0.382,0.618
0.0164,0.0767,1.0234,33.14,-2.275,-0.626,0.611
0.0171,0.0742,1.0186,33.14,-2.137,-0.542,0.649
0.0149,0.0728,1.0229,33.14,-2.435,-0.45,0.687
0.0195,0.0786,1.0276,33.14,-2.191,-0.603,0.71
0.0181,0.0764,1.0215,33.14,-2.244,-0.374,0.695
0.0146,0.0732,1.0234,33.14,-2.252,-0.527,0.634
0.0181,0.0835,1.0178,33.24,-2.275,-0.542,0.626
0.0151,0.0776,1.0217,33.14,-2.206,-0.58,0.779
0.0171,0.0791,1.0242,33.14,-2.198,-0.351,0.641
0.0232,0.0779,1.0281,33.14,-2.305,-0.542,0.542
0.0154,0.0764,1.0259,33.19,-2.252,-0.519,0.664
0.0173,0.074,1.0249,33.19,-2.092,-0.634,0.473
0.0168,0.0747,1.0156,33.09,-2.351,-0.71,0.634
0.01,0.0762,1.0339,33.09,-2.16,-0.45,0.504
0.02,0.0764,1.022,33.28,-2.16,-0.282,0.603
0.0134,0.0784,1.0237,33.14,-2.031,-0.519,0.534
0.0217,0.0771,1.0154,33.14,-2.176,-0.313,0.733
0.0176,0.072,1.0266,33.09,-2.26,-0.542,0.557
0.019,0.0747,1.0215,33.14,-2.137,-0.397,0.84
0.0215,0.0801,1.0266,33.19,-2.122,-0.489,0.695
0.0208,0.0811,1.0264,33.09,-2.0,-0.298,0.641
0.0166,0.0815,1.0154,33.09,-2.046,-0.511,0.656
0.0195,0.0789,1.0193,33.24,-2.13,-0.412,0.626
0.0132,0.0757,1.0234,33.24,-2.244,-0.412,0.649
0.0142,0.0762,1.0198,33.19,-2.076,-0.435,0.595
0.0195,0.082,1.0195,33.19,-2.214,-0.573,0.817
0.0129,0.0728,1.0166,33.19,-2.183,-0.58,0.626
0.0173,0.0759,1.0286,33.09,-2.275,-0.496,0.573
0.0178,0.0759,1.0193,33.14,-2.275,-0.427,0.573
0.0093,0.0774,1.0259,33.05,-2.107,-0.504,0.71
0.0164,0.0789,1.0217,33.19,-2.115,-0.489,0.725
0.0215,0.0852,1.02,33.14,-2.0,-0.405,0.58
0.0142,0.0806,1.022,33.19,-2.107,-0.481,0.695
0.0186,0.0752,1.0222,33.19,-2.237,-0.374,0.634
0.0129,0.0803,1.0264,33.19,-2.13,-0.389,0.641
0.0181,0.0791,1.0237,33.19,-2.229,-0.473,0.702
0.0164,0.0781,1.0269,33.19,-2.122,-0.427,0.649
0.02,0.0779,1.0178,33.19,-2.061,-0.382,0.611
0.0129,0.0747,1.0229,33.19,-2.122,-0.405,0.763
0.009,0.0742,1.02,33.14,-2.153,-0.351,0.656
0.0164,0.0745,1.0137,33.24,-2.107,-0.565,0.656
0.0159,0.0793,1.0205,33.14,-2.305,-0.542,0.534
0.0134,0.0759,1.0225,33.14,-2.069,-0.412,0.679
0.0193,0.0747,1.0225,33.14,-2.229,-0.519,0.733
0.02,0.0723,1.0159,33.14,-2.122,-0.466,0.672
0.0181,0.0789,1.0269,33.14,-2.122,-0.511,0.588
0.0186,0.0764,1.0247,33.14,-1.992,-0.481,0.733
0.0176,0.0789,1.0276,33.09,-2.183,-0.282,0.679
0.0198,0.0774,1.0176,33.19,-2.053,-0.366,0.71
0.0186,0.0833,1.0205,33.09,-2.176,-0.443,0.687
0.0146,0.0791,1.0247,33.09,-2.176,-0.382,0.565
0.0156,0.0764,1.019,33.19,-2.214,-0.504,0.519
0.0178,0.0823,1.0215,33.19,-2.214,-0.534,0.733
0.0222,0.0784,1.0181,33.19,-2.038,-0.588,0.641
0.0273,0.0786,1.0271,33.09,-2.084,-0.45,0.763
0.0181,0.0803,1.0208,33.09,-2.107,-0.427,0.565
0.0168,0.0769,1.0181,33.09,-2.031,-0.13,0.573
0.0156,0.075,1.0249,33.28,-2.107,-0.389,0.748
0.0181,0.0732,1.0261,33.24,-2.122,-0.305,0.557
0.0166,0.0791,1.0154,33.14,-2.107,-0.45,0.702
0.0183,0.0784,1.0247,33.14,-2.191,-0.328,0.611
0.0198,0.0796,1.0234,33.14,-2.046,-0.359,0.534
0.0239,0.0793,1.0188,33.14,-2.061,-0.412,0.779
0.0225,0.0759,1.0242,33.19,-2.191,-0.679,0.687
0.0137,0.0771,1.022,33.14,-2.267,-0.519,0.58
0.021,0.0774,1.0273,33.19,-2.107,-0.374,0.58
0.0132,0.0784,1.0247,33.14,-2.16,-0.542,0.702
0.0212,0.0808,1.0198,33.09,-2.145,-0.595,0.74
0.0242,0.0784,1.0217,33.09,-2.321,-0.496,0.878
0.0117,0.0815,1.0142,33.19,-2.191,-0.229,0.527
0.0237,0.0737,1.0251,33.19,-2.031,-0.473,0.725
0.0186,0.0781,1.0183,33.28,-2.221,-0.389,0.55
0.0115,0.0732,1.0161,33.19,-2.099,-0.336,0.71
0.0125,0.0769,1.0149,33.19,-2.206,-0.534,0.74
0.0222,0.0747,1.0261,33.19,-2.198,-0.466,0.725
0.0144,0.075,1.0232,33.09,-2.13,-0.511,0.71
0.0156,0.0769,1.02,33.09,-2.191,-0.527,0.687
0.0142,0.0774,1.0178,33.19,-2.214,-0.588,0.405
0.0188,0.0811,1.0251,33.19,-2.153,-0.397,0.481
0.0176,0.0742,1.0259,33.19,-2.137,-0.282,0.634
0.0208,0.0781,1.0278,33.19,-2.092,-0.626,0.55
0.02,0.0735,1.0383,33.19,-2.16,-0.466,0.71
0.0173,0.0781,1.0159,33.19,-1.947,-0.542,0.641
0.0112,0.0806,1.0178,33.09,-2.237,-0.618,0.748
0.0149,0.0813,1.0239,33.19,-2.26,-0.389,0.733
0.0156,0.0764,1.0212,33.09,-2.122,-0.405,0.519
0.0149,0.0771,1.0239,33.24,-2.061,-0.496,0.702
0.0156,0.0747,1.0276,33.14,-1.931,-0.557,0.557
0.0159,0.0813,1.0112,33.14,-2.191,-0.519,0.672
0.0181,0.0747,1.0334,33.14,-2.244,-0.466,0.771
0.0173,0.082,1.0125,33.14,-2.176,-0.466,0.618
0.0188,0.0764,1.031,33.24,-2.176,-0.511,0.588
0.0227,0.0708,1.0349,33.14,-2.244,-0.481,0.74
0.0195,0.0776,1.0156,33.24,-2.237,-0.328,0.55
0.0144,0.0735,1.0212,33.14,-1.962,-0.565,0.58
0.0122,0.0762,1.0225,33.24,-2.214,-0.511,0.573
0.0222,0.0771,1.0151,33.14,-2.26,-0.496,0.527
0.0186,0.0752,1.0259,33.14,-2.206,-0.321,0.695
0.0137,0.0806,1.0205,33.05,-2.137,-0.427,0.618
0.0151,0.0771,1.0205,33.09,-2.099,-0.412,0.748
0.0164,0.0789,1.02,33.19,-2.282,-0.519,0.664
0.0139,0.0762,1.0222,33.19,-2.29,-0.466,0.55
0.0205,0.0732,1.02,33.19,-2.198,-0.427,0.618
0.0146,0.0811,1.0161,33.19,-2.168,-0.618,0.611
0.0168,0.0781,1.0176,33.19,-2.176,-0.489,0.695
0.0195,0.0769,1.0239,33.19,-2.221,-0.397,0.672
0.0195,0.0789,1.0264,33.09,-2.412,-0.26,0.71
0.0195,0.0764,1.0254,33.19,-2.305,-0.282,0.771
0.0168,0.0789,1.0266,33.14,-2.214,-0.412,0.634
0.0273,0.0767,1.019,33.14,-2.084,-0.511,0.687
0.0217,0.0823,1.0229,33.14,-2.092,-0.397,0.573
0.0154,0.0793,1.019,33.24,-2.221,-0.359,0.702
0.0166,0.0762,1.0244,33.05,-2.183,-0.496,0.718
0.0229,0.0784,1.0234,33.14,-2.137,-0.374,0.771
0.0151,0.0776,1.0259,33.14,-2.366,-0.389,0.595
0.021,0.0742,1.0281,33.14,-2.176,-0.405,0.809
0.019,0.0759,1.0234,33.09,-2.229,-0.458,0.71
0.0278,0.0796,1.0244,33.14,-2.191,-0.565,0.672
0.0186,0.0784,1.0251,33.09,-2.031,-0.374,0.84
0.019,0.0791,1.0293,33.19,-2.153,-0.305,0.641
0.0166,0.0781,1.0259,33.19,-2.206,-0.534,0.534
0.0127,0.0715,1.0293,33.19,-2.168,-0.435,0.618
0.0195,0.0811,1.0215,33.09,-2.221,-0.489,0.595
0.0137,0.0745,1.0215,33.09,-2.267,-0.435,0.626
0.0171,0.0752,1.0281,33.09,-2.267,-0.275,0.595
0.0146,0.0759,1.0156,33.09,-2.069,-0.542,0.847
0.0146,0.0801,1.031,33.09,-1.962,-0.366,0.565
0.0161,0.0723,1.0203,33.28,-2.176,-0.405,0.603
0.0249,0.084,1.0256,33.09,-2.252,-0.55,0.641
0.02,0.071,1.0291,33.09,-2.344,-0.473,0.618
0.0142,0.0762,1.0254,33.19,-2.069,-0.29,0.649
0.0159,0.0801,1.0146,33.14,-2.198,-0.618,0.649
0.0198,0.0815,1.02,33.09,-2.405,-0.466,0.679
0.0234,0.0784,1.0276,33.09,-2.053,-0.42,0.809
0.0171,0.0742,1.0217,33.14,-2.214,-0.45,0.595
0.0144,0.0771,1.0337,33.14,-2.145,-0.427,0.641
0.0151,0.0803,1.0061,33.14,-2.344,-0.221,0.634
0.0134,0.0771,1.022,33.14,-2.214,-0.435,0.58
0.0168,0.0808,1.0166,33.24,-2.389,-0.374,0.802
0.0188,0.0828,1.0244,33.24,-1.969,-0.634,0.71
0.0166,0.0759,1.0222,33.14,-2.221,-0.534,0.786
0.0188,0.0784,1.0273,33.14,-2.29,-0.519,0.756
0.0142,0.0779,1.02,33.24,-2.267,-0.374,0.603
0.0229,0.075,1.0178,33.14,-2.153,-0.351,0.618
0.0195,0.0784,1.0208,33.09,-2.305,-0.504,0.71
0.0215,0.0798,1.0227,33.19,-2.221,-0.45,0.649
0.0178,0.071,1.0222,33.19,-2.282,-0.351,0.695
0.0208,0.072,1.0212,33.09,-2.42,-0.565,0.695
0.0107,0.0789,1.0229,33.19,-1.977,-0.427,0.649
0.0171,0.0791,1.0159,33.24,-2.16,-0.344,0.634
0.0149,0.0784,1.0256,33.24,-2.321,-0.389,0.824
0.0256,0.0837,1.0083,33.14,-2.038,-0.519,0.824
0.0203,0.0732,1.0273,33.14,-2.099,-0.336,0.733
0.0173,0.0798,0.9954,33.19,-2.595,-0.427,0.473
0.0203,0.0759,1.0295,33.14,-1.908,-0.374,0.802
0.0188,0.0752,1.0154,33.19,-2.053,-0.458,0.58
0.0146,0.0781,1.0271,33.19,-2.359,-0.389,0.763
0.021,0.0791,1.0144,33.19,-2.092,-0.328,0.588
0.0198,0.0779,1.0225,33.19,-2.137,-0.458,0.588
0.0183,0.0754,1.0232,33.19,-2.214,-0.412,0.443
0.0168,0.0764,1.031,33.09,-2.267,-0.74,0.634
0.0217,0.082,1.0247,33.28,-1.962,-0.405,0.695
0.02,0.0754,1.02,33.19,-2.13,-0.519,0.718
0.0183,0.075,1.0293,33.09,-2.099,-0.443,0.634
0.0188,0.082,1.022,33.19,-2.366,-0.412,0.718
0.0151,0.0776,1.0232,33.19,-2.137,-0.481,0.733
0.0125,0.0759,1.0225,33.19,-2.206,-0.489,0.702
0.0227,0.0771,1.0151,33.19,-2.153,-0.565,0.824
0.0142,0.0754,1.0159,33.09,-2.351,-0.534,0.725
0.0139,0.0769,1.0239,33.09,-2.061,-0.504,0.824
0.0181,0.0815,1.0212,33.09,-2.229,-0.542,0.687
0.0164,0.0784,1.01,33.19,-2.076,-0.481,0.802
0.0127,0.0732,1.0396,33.14,-2.084,0.076,0.634
0.0178,0.0801,1.0137,33.14,-2.313,-0.634,0.55
0.0105,0.0791,1.0288,33.14,-2.176,-0.481,0.634
0.0146,0.0784,1.0151,33.14,-2.206,-0.443,0.802
0.0176,0.0769,1.0237,33.33,-2.099,-0.244,0.672
0.0186,0.074,1.0161,33.19,-2.13,-0.481,0.687
0.0161,0.0818,1.0203,33.19,-2.275,-0.328,0.557
0.0156,0.0774,1.0222,33.09,-2.015,-0.313,0.58
0.0203,0.082,1.0227,33.19,-2.29,-0.534,0.672
0.0151,0.0791,1.0232,33.14,-2.084,-0.359,0.634
0.0156,0.0764,1.0171,33.14,-2.275,-0.527,0.725
0.0164,0.0818,1.0107,33.14,-2.206,-0.618,0.618
0.0168,0.0801,1.0269,33.19,-2.084,-0.397,0.527
0.0168,0.0767,1.02,33.09,-2.305,-0.282,0.71
0.0208,0.0801,1.0286,33.19,-2.023,-0.481,0.519
0.0183,0.0825,1.0283,33.19,-2.092,-0.397,0.618
0.0159,0.0801,1.0239,33.24,-2.099,-0.534,0.641
0.021,0.0737,1.0242,33.24,-2.13,-0.603,0.603
0.0178,0.0828,1.0205,33.09,-2.191,-0.321,0.527
0.0205,0.0747,1.0286,33.09,-2.183,-0.214,0.824
0.0146,0.0747,1.0186,33.14,-2.092,-0.489,0.779
0.0212,0.0769,1.0227,33.05,-2.252,-0.366,0.649
0.0134,0.0806,1.03,33.24,-2.031,-0.382,0.763
0.0215,0.0791,1.0176,33.09,-2.198,-0.321,0.534
0.0129,0.0793,1.0215,33.19,-2.191,-0.405,0.603
0.0146,0.075,1.032,33.19,-2.191,-0.397,0.756
0.0161,0.0764,1.0229,33.24,-2.092,-0.466,0.588
0.0186,0.0784,1.0271,33.14,-1.977,-0.504,0.634
0.0159,0.0813,1.0254,33.24,-2.13,-0.252,0.595
0.0203,0.0803,1.0264,33.19,-2.183,-0.237,0.718
0.0176,0.0696,1.0254,33.19,-2.092,-0.397,0.702
0.02,0.0779,1.0198,33.09,-2.038,-0.412,0.641
0.0217,0.0701,1.0286,33.14,-2.092,-0.344,0.557
0.0212,0.0779,1.0156,33.24,-2.229,-0.542,0.595
0.0156,0.075,1.0139,33.19,-2.26,-0.557,0.443
0.0142,0.0708,1.0178,33.09,-2.244,-0.351,0.832
0.0161,0.075,1.0183,33.19,-2.313,-0.588,0.626
0.0151,0.0774,1.0247,33.14,-2.023,-0.397,0.534
0.021,0.0789,1.019,33.14,-2.122,-0.435,0.756
0.0208,0.0762,1.0222,33.05,-2.229,-0.466,0.634
0.0227,0.0781,1.021,33.19,-2.092,-0.427,0.718
0.0181,0.0806,1.0195,33.19,-2.13,-0.641,0.687
0.0154,0.075,1.021,33.19,-2.16,-0.42,0.489
0.02,0.0793,1.0237,33.24,-2.16,-0.405,0.71
0.0125,0.0793,1.0205,33.24,-2.115,-0.298,0.733
0.0188,0.0759,1.0242,33.19,-2.244,-0.481,0.634
0.0188,0.0786,1.0273,33.28,-2.053,-0.305,0.618
0.0171,0.0754,1.0205,33.19,-2.198,-0.374,0.74
0.0142,0.0833,1.0249,33.05,-2.115,-0.481,0.473
0.0188,0.0776,1.0278,33.14,-2.092,-0.397,0.603
0.0188,0.0771,1.0178,33.14,-2.29,-0.504,0.786
0.0156,0.0801,1.0186,33.09,-2.053,-0.511,0.824
0.0232,0.0725,1.0129,33.19,-2.069,-0.412,0.611
0.0183,0.0752,1.0251,33.14,-2.206,-0.313,0.702
0.0161,0.0833,1.0254,33.14,-2.092,-0.397,0.718
0.0186,0.0825,1.0266,33.14,-2.267,-0.359,0.802
0.0159,0.073,1.0242,33.09,-2.305,-0.336,0.74
0.0144,0.0769,1.0208,33.19,-2.122,-0.412,0.71
0.0178,0.0828,1.0166,33.14,-2.206,-0.504,0.519
0.0178,0.0837,1.0251,33.14,-2.26,-0.397,0.542
0.0088,0.0767,1.0242,33.09,-2.344,-0.473,0.504
0.0161,0.0823,1.0149,33.09,-2.26,-0.42,0.84
0.0198,0.0769,1.0186,33.05,-2.176,-0.481,0.519
0.0176,0.0767,1.0217,33.14,-2.069,-0.458,0.496
0.0137,0.0801,1.019,33.14,-2.29,-0.267,0.519
0.0205,0.0754,1.0259,33.19,-2.206,-0.481,0.595
0.012,0.0793,1.0193,33.09,-2.176,-0.519,0.466
0.0188,0.083,1.0146,33.14,-2.344,-0.473,0.527
0.0222,0.0796,1.0198,33.24,-2.168,-0.519,0.817
0.0139,0.0774,1.0129,33.14,-2.053,-0.359,0.603
0.0164,0.0781,1.021,33.19,-2.206,-0.511,0.588
0.0161,0.0759,1.0261,33.09,-2.26,-0.534,0.718
0.0171,0.0842,1.0229,33.24,-2.015,-0.511,0.664
0.0183,0.0852,1.0305,33.24,-2.176,-0.702,0.626
0.022,0.0801,1.0173,33.09,-2.084,-0.29,0.756
0.0193,0.0762,1.0217,33.19,-2.099,-0.443,0.443
0.019,0.0776,1.0212,33.24,-2.092,-0.405,0.756
0.0203,0.074,1.0195,33.14,-2.198,-0.344,0.687
0.0134,0.075,1.0251,33.14,-2.153,-0.504,0.702
0.0188,0.0767,1.0222,33.14,-2.336,-0.344,0.763
0.0173,0.0791,1.0234,33.14,-2.122,-0.366,0.702
0.0217,0.0779,1.01,33.14,-2.092,-0.45,0.702
0.0159,0.0779,1.0242,33.24,-2.023,-0.397,0.511
0.0095,0.082,1.0244,33.14,-2.221,-0.519,0.519
0.0195,0.0818,1.0173,33.09,-2.107,-0.489,0.687
0.0237,0.0798,1.0151,33.09,-2.084,-0.267,0.771
0.0273,0.0793,1.0217,33.19,-2.26,-0.412,0.794
0.0168,0.0801,1.0193,33.09,-2.137,-0.626,0.763
0.0173,0.0793,1.0244,33.19,-2.122,-0.443,0.687
0.0176,0.0767,1.0195,33.28,-1.992,-0.443,0.649
0.0159,0.0764,1.0178,33.19,-2.313,-0.397,0.725
0.0171,0.0754,1.0195,33.19,-2.313,-0.267,0.641
0.0107,0.0776,1.0188,33.19,-2.214,-0.573,0.779
0.0203,0.0745,1.0259,33.09,-2.153,-0.504,0.626
0.0215,0.0796,1.0242,33.09,-2.252,-0.198,0.542
0.0173,0.0803,1.0198,33.24,-2.153,-0.321,0.573
0.0146,0.0818,1.0186,33.14,-2.191,-0.42,0.84
0.0125,0.0752,1.0327,33.14,-2.092,-0.489,0.649
0.02,0.0752,1.0222,33.14,-2.168,-0.573,0.809
0.0188,0.0698,1.0232,33.24,-2.122,-0.466,0.611
0.0151,0.0862,1.0161,33.14,-2.183,-0.534,0.695
0.0137,0.0784,1.0273,33.19,-2.13,-0.374,0.74
0.0188,0.074,1.02,33.19,-2.137,-0.55,0.473
0.0259,0.0757,1.0259,33.09,-2.092,-0.313,0.687
0.022,0.075,1.0193,33.28,-2.229,-0.389,0.71
0.0232,0.0771,1.0276,33.19,-2.244,-0.435,0.832
0.01,0.083,1.019,33.24,-2.153,-0.603,0.664
0.0222,0.0781,1.0215,33.05,-2.183,-0.55,0.565
0.0171,0.0754,1.0261,33.14,-2.305,-0.336,0.771
0.0159,0.0784,1.0251,33.14,-2.115,-0.466,0.672
0.0149,0.075,1.0215,33.24,-2.275,-0.55,0.679
0.0173,0.083,1.0161,33.24,-2.153,-0.511,0.634
0.0198,0.0771,1.0273,33.14,-2.107,-0.282,0.74
0.0208,0.0771,1.031,33.24,-2.084,-0.435,0.763
0.0146,0.0747,1.0186,33.14,-2.137,-0.336,0.656
0.0156,0.0757,1.0159,33.24,-2.328,-0.435,0.603
0.0195,0.0732,1.0171,33.19,-2.168,-0.504,0.687
0.02,0.0806,1.0171,33.19,-2.099,-0.489,0.626
0.0208,0.0769,1.0195,33.19,-2.282,-0.504,0.695
0.0127,0.0767,1.0222,33.19,-2.321,-0.198,0.573
0.0134,0.0808,1.0249,33.19,-2.214,-0.397,0.618
0.0183,0.0808,1.0247,33.19,-2.153,-0.45,0.534
0.0125,0.0801,1.0283,33.28,-2.16,-0.374,0.71
0.0205,0.0781,1.0203,33.19,-2.176,-0.565,0.794
0.0198,0.0786,1.019,33.19,-2.16,-0.473,0.634
0.0168,0.0806,1.0247,33.19,-2.13,-0.542,0.756
0.0159,0.0688,1.0164,33.14,-2.382,-0.397,0.58
0.0115,0.084,1.0222,33.14,-2.115,-0.557,0.84
0.0215,0.0776,1.0225,33.14,-2.137,-0.45,0.695
0.0198,0.0806,1.0232,33.14,-2.168,-0.473,0.756
0.021,0.0757,1.019,33.09,-2.107,-0.45,0.679
0.0164,0.0762,1.019,33.09,-2.214,-0.534,0.603
