ax,ay,az,temp,gx,gy,gz
0.0205,0.0742,1.0159,33.09,-2.344,-0.351,0.672
0.0247,0.0803,1.0159,33.09,-2.176,-0.473,0.55
0.0188,0.075,1.0171,33.19,-2.069,-0.405,0.527
0.0195,0.0798,1.0334,33.09,-1.916,-0.252,0.84
0.0171,0.0793,1.0173,33.09,-2.16,-0.282,0.527
0.0186,0.0789,1.0181,33.09,-2.313,-0.298,0.634
0.0217,0.0818,1.0239,33.09,-2.069,-0.389,0.58
0.0137,0.0813,1.0273,33.09,-2.336,-0.313,0.595
0.0156,0.0801,1.019,33.09,-2.145,-0.573,0.878
0.0186,0.0801,1.019,33.0,-2.13,-0.359,0.496
0.0166,0.0762,1.0276,33.19,-2.145,-0.534,0.718
0.0164,0.0757,1.0222,33.19,-2.168,-0.45,0.504
0.0166,0.0815,1.01,33.14,-2.137,-0.466,0.595
0.0156,0.0742,1.0193,33.14,-2.16,-0.504,0.618
0.0129,0.072,1.031,33.14,-2.13,-0.42,0.672
0.0215,0.0764,1.0115,33.05,-2.076,-0.427,0.519
0.0149,0.0762,1.0239,33.14,-2.145,-0.542,0.649
0.0186,0.0754,1.0183,33.14,-2.305,-0.527,0.756
0.0168,0.0752,1.0271,33.14,-2.046,-0.55,0.71
0.0183,0.0789,1.0161,33.14,-2.145,-0.58,0.649
0.0156,0.0784,1.0151,33.14,-2.252,-0.618,0.626
0.0137,0.0767,1.0261,33.14,-2.237,-0.374,0.771
0.0139,0.0764,1.0232,33.09,-2.153,-0.573,0.649
0.0171,0.0791,1.0215,33.14,-2.153,-0.443,0.534
0.011,0.0833,1.0198,33.09,-2.153,-0.45,0.641
0.0142,0.0771,1.0222,33.19,-2.092,-0.496,0.473
0.0195,0.0764,1.019,33.09,-1.985,-0.313,0.664
0.0247,0.0774,1.0264,33.09,-2.122,-0.496,0.702
0.02,0.074,1.0266,33.09,-2.221,-0.405,0.641
0.0156,0.0784,1.0215,33.0,-2.214,-0.58,0.489
0.02,0.0791,1.0247,33.19,-2.13,-0.557,0.588
0.0168,0.0776,1.0168,33.19,-2.29,-0.374,0.656
0.0217,0.0793,1.0244,33.24,-2.374,-0.489,0.641
0.0095,0.0818,1.0266,33.14,-2.115,-0.382,0.672
0.0208,0.0735,1.0227,33.24,-2.031,-0.458,0.519
0.0178,0.0791,1.0217,33.14,-2.107,-0.511,0.725
0.0173,0.0745,1.0183,33.24,-2.137,-0.542,0.664
0.0205,0.0796,1.0308,33.19,-2.084,-0.305,0.618
0.0195,0.0835,1.0225,33.19,-2.206,-0.366,0.725
0.022,0.0737,1.0203,33.19,-2.427,-0.374,0.656
0.0193,0.0764,1.021,33.09,-2.328,-0.519,0.725
0.0217,0.074,1.0188,33.09,-2.405,-0.336,0.595
0.0176,0.0801,1.0166,33.19,-2.191,-0.511,0.748
0.0237,0.0781,1.019,33.14,-2.168,-0.435,0.695
0.0195,0.0793,1.0173,33.14,-2.214,-0.328,0.779
0.0198,0.0774,1.0237,33.14,-2.191,-0.351,0.481
0.0193,0.0803,1.0188,33.14,-2.206,-0.481,0.809
0.0146,0.0852,1.0271,33.09,-2.237,-0.42,0.595
0.0227,0.0823,1.0181,33.09,-2.153,-0.427,0.519
0.0166,0.074,1.0142,33.19,-2.252,-0.42,0.656
0.0242,0.0759,1.0288,33.09,-2.069,-0.58,0.481
0.0208,0.0752,1.0308,33.24,-2.076,-0.336,0.618
0.0173,0.0789,1.0198,33.24,-2.328,-0.649,0.679
0.0164,0.0798,1.0249,33.05,-2.115,-0.557,0.573
0.0215,0.0803,1.0142,33.05,-2.176,-0.458,0.779
0.0208,0.071,1.0215,33.19,-2.168,-0.298,0.611
0.0239,0.0786,1.0161,33.09,-2.229,-0.466,0.702
0.0139,0.0752,1.0273,33.09,-2.153,-0.45,0.588
0.0164,0.0757,1.0278,33.19,-2.092,-0.458,0.634
0.0203,0.072,1.0171,33.14,-1.924,-0.519,0.458
0.0217,0.0774,1.021,33.05,-2.206,-0.489,0.817
0.0166,0.0759,1.0178,33.14,-2.084,-0.321,0.55
0.0212,0.0786,1.019,33.19,-2.198,-0.374,0.634
0.0203,0.0796,1.0129,33.24,-2.305,-0.458,0.542
0.022,0.0732,1.0178,33.19,-2.13,-0.542,0.603
0.0139,0.0806,1.0234,33.09,-2.26,-0.389,0.71
0.0198,0.075,1.0234,33.0,-2.168,-0.542,0.656
0.0129,0.0793,1.0149,33.19,-2.229,-0.588,0.687
0.0166,0.0803,1.0122,33.14,-2.008,-0.458,0.702
0.0183,0.0752,1.0234,33.24,-2.168,-0.336,0.595
0.0183,0.0754,1.0276,33.14,-2.031,-0.504,0.832
0.0217,0.0789,1.0132,33.14,-2.046,-0.443,0.779
0.0178,0.0708,1.0173,33.24,-2.313,-0.527,0.656
0.0208,0.0737,1.0303,33.14,-1.992,-0.473,0.802
0.0159,0.0793,1.0173,33.09,-2.275,-0.305,0.603
0.0156,0.0754,1.0295,33.09,-2.084,-0.366,0.435
0.0188,0.0842,1.0186,33.19,-2.061,-0.359,0.725
0.0188,0.0793,1.0188,33.09,-2.115,-0.504,0.718
0.0161,0.0784,1.019,33.09,-2.214,-0.504,0.634
0.0186,0.0779,1.0298,33.14,-2.153,-0.504,0.634
0.0229,0.0747,1.02,33.14,-2.267,-0.336,0.878
0.0222,0.0791,1.0261,33.19,-2.198,-0.542,0.496
0.0178,0.0718,1.0244,33.14,-2.214,-0.588,0.542
0.0215,0.0784,1.0239,33.09,-2.084,-0.397,0.542
0.0107,0.0771,1.0156,33.19,-2.137,-0.702,0.634
0.019,0.0786,1.0273,33.0,-2.26,-0.389,0.702
0.022,0.0742,1.0244,33.09,-2.13,-0.336,0.725
0.0232,0.0779,1.0283,33.09,-2.008,-0.42,0.679
0.0132,0.0715,1.0271,33.0,-2.168,-0.473,0.641
0.0178,0.0769,1.0188,33.09,-2.237,-0.443,0.58
0.0171,0.0801,1.0283,33.09,-2.252,-0.435,0.55
0.0193,0.0759,1.0168,33.19,-2.176,-0.611,0.603
0.0173,0.0764,1.0183,33.19,-2.206,-0.344,0.656
0.0178,0.0798,1.0161,33.14,-2.244,-0.344,0.519
0.0198,0.0789,1.0168,33.14,-2.298,-0.435,0.641
0.0183,0.0815,1.0264,33.14,-2.046,-0.389,0.519
0.0181,0.0779,1.0261,33.14,-2.061,-0.382,0.725
0.0154,0.082,1.022,33.09,-2.183,-0.511,0.603
0.021,0.0774,1.0227,33.19,-2.015,-0.458,0.603
0.0127,0.0764,1.0264,33.09,-2.092,-0.313,0.626
0.0156,0.0786,1.0188,33.19,-2.015,-0.527,0.473
0.0239,0.0762,1.0203,33.19,-2.145,-0.45,0.794
0.0176,0.0781,1.0283,33.09,-2.275,-0.504,0.481
0.0105,0.0769,1.019,33.14,-2.092,-0.366,0.496
0.0173,0.0793,1.0212,33.14,-2.16,-0.405,0.618
0.0183,0.0774,1.0203,33.14,-2.084,-0.45,0.748
0.021,0.0842,1.0149,33.09,-2.069,-0.359,0.71
0.0151,0.0811,1.0337,32.95,-2.351,-0.397,0.939
0.0171,0.0815,1.0249,33.19,-2.076,-0.427,0.534
0.021,0.0757,1.02,33.19,-2.359,-0.366,0.679
0.0188,0.0789,1.0083,33.19,-2.099,-0.542,0.656
0.0208,0.0774,1.0249,33.14,-2.13,-0.458,0.748
0.0186,0.0803,1.0151,33.05,-2.084,-0.55,0.534
0.0225,0.0789,1.0215,33.14,-2.153,-0.321,0.664
0.0127,0.0774,1.0188,33.19,-2.145,-0.687,0.565
0.0176,0.071,1.0198,33.09,-2.122,-0.168,0.649
0.0134,0.0769,1.0266,33.19,-2.183,-0.305,0.656
0.019,0.0786,1.0161,33.19,-2.168,-0.595,0.771
0.012,0.0801,1.0237,33.09,-2.214,-0.542,0.588
0.0125,0.0776,1.021,33.14,-2.061,-0.695,0.641
0.0168,0.0784,1.0229,33.14,-2.145,-0.321,0.702
0.0183,0.072,1.0251,33.14,-2.107,-0.496,0.534
0.0178,0.0847,1.0161,33.24,-2.206,-0.687,0.557
0.0159,0.0759,1.0247,33.09,-2.046,-0.366,0.664
0.0217,0.0747,1.0156,33.14,-2.13,-0.366,0.733
0.0225,0.083,1.0247,33.19,-2.015,-0.672,0.702
0.022,0.0769,1.0273,33.19,-2.122,-0.466,0.405
0.0186,0.0823,1.022,33.09,-2.168,-0.458,0.779
0.0166,0.0791,1.0242,33.09,-2.206,-0.397,0.779
0.0127,0.0774,1.022,33.09,-2.122,-0.42,0.45
0.0142,0.0845,1.02,33.09,-2.122,-0.351,0.695
0.0159,0.0813,1.0186,33.19,-2.145,-0.382,0.618
0.0117,0.0825,1.0244,33.05,-2.176,-0.252,0.687
0.0156,0.0728,1.0212,33.14,-2.053,-0.382,0.679
0.0156,0.0793,1.0195,33.14,-2.099,-0.374,0.687
0.0212,0.0762,1.03,33.19,-2.092,-0.344,0.74
0.0261,0.0764,1.0264,33.09,-2.092,-0.634,0.824
0.0176,0.0774,1.0254,33.19,-2.145,-0.321,0.672
0.0183,0.0769,1.0186,33.19,-2.26,-0.565,0.786
0.021,0.0764,1.0239,33.19,-2.198,-0.244,0.458
0.0161,0.0796,1.0144,33.09,-2.023,-0.305,0.756
0.0105,0.0813,1.0249,33.19,-2.29,-0.328,0.672
0.0156,0.0786,1.0142,33.19,-2.244,-0.321,0.641
0.0176,0.0825,1.0249,33.19,-2.137,-0.405,0.511
0.0137,0.0752,1.0234,33.14,-2.198,-0.382,0.71
0.0166,0.0752,1.0208,33.14,-2.237,-0.45,0.588
0.0161,0.0747,1.0249,33.14,-2.206,-0.511,0.534
0.0232,0.0769,1.0247,33.14,-2.168,-0.45,0.672
0.0208,0.075,1.0254,33.19,-2.282,-0.313,0.542
0.0173,0.0723,1.0276,33.09,-2.198,-0.244,0.641
0.0142,0.0806,1.0217,33.09,-2.13,-0.389,0.634
0.0176,0.0742,1.0217,33.09,-2.244,-0.26,0.74
0.0149,0.0754,1.0195,33.28,-2.076,-0.55,0.595
0.0156,0.0752,1.0188,33.19,-2.221,-0.267,0.55
0.0188,0.0781,1.0171,33.09,-2.053,-0.282,0.664
0.0176,0.0798,1.0156,33.19,-2.351,-0.496,0.534
0.0122,0.0798,1.0156,33.14,-2.061,-0.42,0.611
0.0227,0.0735,1.0269,33.14,-2.305,-0.458,0.557
0.0171,0.0737,1.0173,33.05,-2.084,-0.496,0.74
0.0178,0.0818,1.0217,33.14,-2.237,-0.557,0.695
0.0173,0.0813,1.0181,33.09,-2.359,-0.489,0.58
0.0181,0.0715,1.0166,33.09,-2.282,-0.351,0.718
0.0161,0.0771,1.0208,33.09,-2.214,-0.374,0.511
0.0164,0.0781,1.02,33.14,-2.359,-0.664,0.595
0.019,0.0793,1.0186,33.24,-2.115,-0.366,0.641
0.0164,0.075,1.0232,33.14,-2.13,-0.237,0.695
0.0149,0.0784,1.0188,33.14,-2.198,-0.382,0.687
0.0203,0.0754,1.0225,33.09,-2.198,-0.321,0.534
0.0164,0.0808,1.0251,33.09,-2.237,-0.466,0.679
0.0134,0.0815,1.031,33.19,-2.053,-0.389,0.42
0.0195,0.0769,1.0259,33.19,-2.458,-0.374,0.771
